uuid,name,price,processor,memory,hard_drive,graphics,img
ee58b3e8-1443-11eb-9321-0242ac1c0002,Inspiron 14 3000 (3493),$699.00 ,Intel Core i3-1005G1,4,1TB_HDD,Intel UHD Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/14_3480/global_spi/notebook-inspiron-14-3480-black-campaign-hero-504x350-ng.psd?fmt=jpg&wid=570&hei=400
ee638a70-1443-11eb-9321-0242ac1c0002,New Inspiron 13 5000 Laptop (5301),"$1,099.00 ",Intel Core i3-1115G4,8,256GB_SSD,Intel UHD Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/inspiron_5300/pdp/notebooks-inspiron-13-5300-laptop-pdp-design-gallery504x350.jpg?fmt=jpg&wid=570&hei=400
ee6d5fdc-1443-11eb-9321-0242ac1c0002,New Inspiron 14 5000 Laptop (5402),"$1,148.99 ",Intel Core i5-1135G7,8,256GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/14_5401_5408/pdp/notebooks-inspiron-14-5401-5408-laptop-pdp-design-gallery504x350_silver.jpg?fmt=jpg&wid=570&hei=400
ee785c5c-1443-11eb-9321-0242ac1c0002,Inspiron 15 3000 (3593),"$1,198.99 ",Intel Core i7-1065G7,8,1TB_HDD,NVIDIA GeForce MX230,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/15_3582/pdp/notebook-inspiron-15-3582-in-pdp-gallery-504x350.jpg?fmt=jpg&wid=570&hei=400
ee8291a4-1443-11eb-9321-0242ac1c0002,New Inspiron 14 5000 Laptop (5402),"$1,248.99 ",Intel Core i5-1135G7,8,512GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/14_5401_5408/pdp/notebooks-inspiron-14-5401-5408-laptop-pdp-design-gallery504x350_silver.jpg?fmt=jpg&wid=570&hei=400
ee8c7bd8-1443-11eb-9321-0242ac1c0002,New Inspiron 13 5000 Laptop (5301),"$1,249.00 ",Intel Core i5-1135G7,8,256GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/inspiron_5300/pdp/notebooks-inspiron-13-5300-laptop-pdp-design-gallery504x350.jpg?fmt=jpg&wid=570&hei=400
ee962386-1443-11eb-9321-0242ac1c0002,New Inspiron 15 5000 Laptop (5502),"$1,298.99 ",Intel Core i5-1135G7,8,512GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/15_5501_5508/pdp/notebooks-inspiron-15-5501-5508-laptop-pdp-design-gallery504x350.jpg?fmt=jpg&wid=570&hei=400
eea03fa6-1443-11eb-9321-0242ac1c0002,New Inspiron 15 5000 Laptop (5501),"$1,298.99 ",Intel Core i5-1035G1,8,512GB_SSD,Intel UHD Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/15_5501_5508/pdp/notebooks-inspiron-15-5501-5508-laptop-pdp-design-gallery504x350.jpg?fmt=jpg&wid=570&hei=400
eea9c38c-1443-11eb-9321-0242ac1c0002,New Inspiron 13 5000 Laptop (5301),"$1,299.00 ",Intel Core i5-1135G7,8,512GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/inspiron_5300/pdp/notebooks-inspiron-13-5300-laptop-pdp-design-gallery504x350.jpg?fmt=jpg&wid=570&hei=400
eeb3a320-1443-11eb-9321-0242ac1c0002,New Inspiron 15 5000 Laptop (5502),"$1,348.97 ",Intel Core i5-1135G7,8,512GB_SSD,NVIDIA GeForce MX330,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/15_5501_5508/pdp/notebooks-inspiron-15-5501-5508-laptop-pdp-design-gallery504x350.jpg?fmt=jpg&wid=570&hei=400
